query,num_qubits,max_time,num_points,epochs,decoherence_rate
"Simulate 6-qubit Ising model with rate 0.0",6,10,100,100,0.05
"Compute 5 qubit NN proxy with 1000 epochs",6,8,100,1500,0.1
"Visualize 3 qubit SHAP analysis over 5 units",6,15,100,2000,0.0
"Run 2-qubit chain for 12 time units",6,10,100,100,0.02
"Explore 3 qubit dynamics with 0.1 decoherence for 12 units",4,10,100,1000,0.05
"Model 6-qubit bit-flip channel at 0.08 for 15 time",2,8,100,500,0.1
"Predict 6-qubit observables for 12 time range",5,5,100,500,0.0
"Test 2 qubits superposition for 10 time steps",2,15,100,500,0.08
"Generate data for 3 qubits from t=0 to 15",5,12,100,1000,0.02
"Compute 2 qubit NN proxy with 1000 epochs",4,10,100,1000,0.1
"Explore 3 qubit evolution with 2000 training epochs",6,5,100,100,0.02
"Test 5-qubit quantum dynamics with 0.08 rate",3,15,100,100,0.0
"Generate 2 qubit expectation values from 0 to 5",4,12,100,1500,0.08
"Analyze entanglement in 5 qubits with 0.0 noise",6,12,100,1500,0.05
"Analyze 5 qubits with decoherence 0.0",3,15,100,100,0.05
"Generate 3 qubit expectation values from 0 to 15",5,5,100,1000,0.1
"Analyze entanglement in 3 qubits with 0.08 noise",5,15,100,1000,0.0
"Run 5-qubit chain for 15 time units",3,12,100,2000,0.0
"Generate data for 2 qubits from t=0 to 5",2,8,100,1000,0.02
"Analyze entanglement in 5 qubits with 0.02 noise",3,10,100,1000,0.05
"Analyze 3 qubits with decoherence 0.0",2,5,100,1500,0.08
"Model 5-qubit bit-flip channel at 0.08 for 10 time",3,8,100,1500,0.1
"Explore 3 qubit evolution with 500 training epochs",3,15,100,2000,0.05
"Analyze 6 qubits with decoherence 0.0",2,12,100,100,0.08
"Analyze 2 qubits with decoherence 0.08",2,12,100,100,0.05
"Simulate 3-qubit correlations at 0.1 decoherence",6,12,100,2000,0.08
"Simulate 2-qubit Ising model with rate 0.0",5,10,100,100,0.08
"Run 2 qubits with magnetic field over 15 units",2,10,100,500,0.1
"Model 2 qubit time series for 15 duration",5,10,100,100,0.08
"Test 6-qubit quantum dynamics with 0.05 rate",2,8,100,1500,0.1
"Generate 4 qubit expectation values from 0 to 8",5,15,100,100,0.08
"Explore 4 qubit dynamics with 0.05 decoherence for 12 units",4,10,100,500,0.05
"Simulate 5 qubit entanglement",3,5,100,2000,0.0
"Run 6-qubit chain for 8 time units",6,15,100,500,0.05
"Explore 4 qubit dynamics with 0.02 decoherence for 5 units",4,8,100,500,0.0
"Visualize 3 qubit SHAP analysis over 12 units",3,10,100,500,0.02
"Model 6 qubit time series for 5 duration",6,8,100,100,0.02
"Predict correlation for 3 qubits over 10 time",5,12,100,2000,0.1
"Explore 4 qubit evolution with 1500 training epochs",5,15,100,2000,0.05
"Model 2-qubit bit-flip channel at 0.05 for 5 time",4,8,100,1500,0.0
"Model 3-qubit bit-flip channel at 0.1 for 12 time",5,12,100,1000,0.05
"Generate data for 2 qubits from t=0 to 10",6,5,100,1000,0.1
"Explore 5 qubit dynamics with 0.0 decoherence for 8 units",2,10,100,1500,0.08
"Simulate linear 2-qubit Hamiltonian for 10 time",2,5,100,1000,0.05
"Predict correlation for 4 qubits over 15 time",2,5,100,2000,0.1
"Explore 3 qubit dynamics with 0.02 decoherence for 8 units",6,12,100,1500,0.1
"Simulate 3 qubit entanglement",6,5,100,1500,0.1
"Model 3-qubit bit-flip channel at 0.08 for 5 time",3,10,100,2000,0.08
"Explore 3 qubit evolution with 1000 training epochs",6,8,100,100,0.08
"Visualize 3 qubit SHAP analysis over 8 units",2,10,100,100,0.1
"Run 4 qubits with magnetic field over 10 units",3,5,100,500,0.08
"Simulate linear 6-qubit Hamiltonian for 12 time",5,15,100,2000,0.1
"Simulate 2 qubit entanglement",3,10,100,1000,0.05
"Model 2-qubit bit-flip channel at 0.1 for 5 time",5,12,100,1000,0.1
"Simulate linear 4-qubit Hamiltonian for 12 time",2,10,100,100,0.05
"Predict correlation for 5 qubits over 15 time",2,15,100,1500,0.05
"Analyze 5 qubits with decoherence 0.1",4,15,100,500,0.05
"Generate 4 qubit expectation values from 0 to 12",2,15,100,500,0.05
"Model 4 qubit time series for 5 duration",4,12,100,500,0.1
"Visualize 5 qubit SHAP analysis over 10 units",2,10,100,2000,0.08
"Generate data for 3 qubits from t=0 to 8",4,8,100,2000,0.0
"Simulate 6-qubit Ising model with rate 0.05",5,15,100,1000,0.0
"Predict 5-qubit observables for 8 time range",4,10,100,500,0.02
"Simulate 2-qubit Ising model with rate 0.1",4,12,100,500,0.02
"Compute 2 qubit NN proxy with 500 epochs",3,8,100,100,0.05
"Generate 3 qubit expectation values from 0 to 5",2,15,100,2000,0.1
"Explore 6 qubit evolution with 1500 training epochs",2,10,100,2000,0.02
"Test 3-qubit quantum dynamics with 0.08 rate",6,12,100,500,0.02
"Test 3 qubits superposition for 5 time steps",3,15,100,500,0.08
"Test 3 qubits superposition for 15 time steps",2,12,100,1000,0.02
"Generate data for 3 qubits from t=0 to 5",5,15,100,1000,0.08
"Predict 6-qubit observables for 15 time range",3,15,100,500,0.05
"Predict 3-qubit observables for 12 time range",5,8,100,1000,0.1
"Test 4 qubits superposition for 15 time steps",5,12,100,1000,0.08
"Model 5-qubit bit-flip channel at 0.05 for 5 time",6,15,100,1500,0.02
"Model 4-qubit bit-flip channel at 0.1 for 10 time",3,15,100,500,0.05
"Explore 3 qubit dynamics with 0.08 decoherence for 8 units",2,12,100,1000,0.1
"Generate 2 qubit expectation values from 0 to 12",2,15,100,100,0.05
"Generate data for 5 qubits from t=0 to 12",2,8,100,1000,0.08
"Run 5 qubits with magnetic field over 5 units",6,8,100,1500,0.0
"Run 5 qubits with magnetic field over 15 units",3,12,100,1000,0.0
"Test 5 qubits superposition for 8 time steps",5,5,100,1500,0.1
"Explore 2 qubit evolution with 1500 training epochs",4,8,100,1500,0.0
"Simulate 5-qubit Ising model with rate 0.1",4,8,100,100,0.05
"Run 5-qubit chain for 8 time units",2,10,100,500,0.02
"Predict 4-qubit observables for 10 time range",2,10,100,1500,0.02
"Analyze entanglement in 4 qubits with 0.08 noise",5,12,100,2000,0.0
"Analyze 2 qubits with decoherence 0.02",2,5,100,1000,0.02
"Model 3 qubit time series for 8 duration",3,15,100,2000,0.1
"Predict correlation for 6 qubits over 8 time",5,5,100,1000,0.02
"Simulate linear 3-qubit Hamiltonian for 15 time",4,5,100,100,0.02
"Simulate 4-qubit Ising model with rate 0.1",5,15,100,1500,0.0
"Visualize 6 qubit SHAP analysis over 12 units",2,12,100,2000,0.1
"Generate data for 5 qubits from t=0 to 10",2,15,100,2000,0.02
"Compute 2 qubit NN proxy with 100 epochs",3,10,100,1500,0.0
"Analyze entanglement in 4 qubits with 0.02 noise",6,10,100,500,0.1
"Simulate 6-qubit Ising model with rate 0.1",5,8,100,100,0.1
"Explore 5 qubit evolution with 1000 training epochs",4,5,100,2000,0.1
"Compute 3 qubit NN proxy with 1500 epochs",6,15,100,2000,0.0
"Test 5 qubits superposition for 15 time steps",5,12,100,100,0.08
"Model 6-qubit bit-flip channel at 0.1 for 10 time",4,10,100,100,0.05
"Simulate 3-qubit correlations at 0.02 decoherence",2,10,100,500,0.0
"Predict 2-qubit observables for 5 time range",6,10,100,500,0.0
"Run 3 qubits with magnetic field over 10 units",4,15,100,1000,0.02
"Visualize 4 qubit SHAP analysis over 8 units",5,12,100,500,0.02
"Generate 5 qubit expectation values from 0 to 10",2,12,100,100,0.05
"Test 4 qubits superposition for 8 time steps",3,5,100,500,0.0
"Generate data for 4 qubits from t=0 to 8",4,10,100,2000,0.08
"Simulate 6 qubit entanglement",6,12,100,1000,0.0
"Predict 4-qubit observables for 8 time range",3,10,100,1000,0.0
"Run 6-qubit chain for 5 time units",4,10,100,100,0.05
"Generate data for 5 qubits from t=0 to 15",5,12,100,1500,0.08
"Test 6 qubits superposition for 12 time steps",4,8,100,1500,0.08
"Generate 4 qubit expectation values from 0 to 5",4,15,100,1000,0.0
"Simulate 6-qubit Ising model with rate 0.02",5,5,100,1500,0.1
"Analyze entanglement in 5 qubits with 0.08 noise",3,15,100,1000,0.05
"Analyze 3 qubits with decoherence 0.05",2,5,100,1000,0.05
"Run 3-qubit chain for 10 time units",4,12,100,2000,0.08
"Analyze entanglement in 2 qubits with 0.02 noise",3,12,100,1000,0.08
"Model 3-qubit bit-flip channel at 0.0 for 5 time",2,10,100,2000,0.08
"Visualize 6 qubit SHAP analysis over 15 units",4,5,100,100,0.08
"Predict correlation for 5 qubits over 10 time",4,15,100,500,0.0
"Simulate 6-qubit correlations at 0.08 decoherence",3,15,100,1500,0.0
"Model 2 qubit time series for 12 duration",3,5,100,500,0.05
"Model 2-qubit bit-flip channel at 0.02 for 5 time",4,12,100,2000,0.0
"Test 2-qubit quantum dynamics with 0.1 rate",6,8,100,1500,0.05
"Simulate 5-qubit Ising model with rate 0.08",4,12,100,100,0.1
"Simulate 6-qubit Ising model with rate 0.08",3,15,100,1000,0.08
"Explore 4 qubit evolution with 1000 training epochs",4,10,100,500,0.0
"Visualize 5 qubit SHAP analysis over 15 units",2,8,100,1500,0.1
"Run 4-qubit chain for 10 time units",5,15,100,100,0.05
"Run 6 qubits with magnetic field over 5 units",4,12,100,500,0.1
"Analyze entanglement in 2 qubits with 0.1 noise",4,12,100,500,0.0
"Model 5 qubit time series for 12 duration",3,5,100,1500,0.02
"Model 6-qubit bit-flip channel at 0.05 for 8 time",5,5,100,1000,0.05
"Explore 2 qubit evolution with 500 training epochs",2,15,100,2000,0.05
"Simulate 4-qubit Ising model with rate 0.0",4,8,100,500,0.05
"Predict correlation for 3 qubits over 12 time",6,8,100,100,0.02
"Model 5-qubit bit-flip channel at 0.08 for 12 time",3,8,100,1500,0.0
"Predict 6-qubit observables for 8 time range",4,15,100,2000,0.05
"Model 6 qubit time series for 8 duration",5,15,100,500,0.1
"Analyze entanglement in 4 qubits with 0.05 noise",2,5,100,1000,0.08
"Visualize 4 qubit SHAP analysis over 15 units",5,15,100,1500,0.08
"Explore 5 qubit dynamics with 0.08 decoherence for 15 units",6,5,100,500,0.05
"Compute 6 qubit NN proxy with 1500 epochs",2,12,100,1500,0.1
"Test 5 qubits superposition for 5 time steps",4,8,100,2000,0.1
"Explore 6 qubit dynamics with 0.05 decoherence for 15 units",3,8,100,1500,0.1
"Predict 2-qubit observables for 15 time range",2,5,100,2000,0.02
"Model 4-qubit bit-flip channel at 0.08 for 15 time",4,8,100,500,0.05
"Generate data for 2 qubits from t=0 to 15",3,10,100,2000,0.05
"Predict correlation for 5 qubits over 8 time",2,10,100,500,0.1
"Simulate linear 5-qubit Hamiltonian for 8 time",4,8,100,1000,0.1
"Analyze entanglement in 6 qubits with 0.02 noise",6,5,100,2000,0.02
"Run 6-qubit chain for 12 time units",6,15,100,500,0.02
"Model 5-qubit bit-flip channel at 0.0 for 10 time",6,15,100,1000,0.1
"Visualize 6 qubit SHAP analysis over 8 units",2,5,100,100,0.0
"Test 4-qubit quantum dynamics with 0.0 rate",6,10,100,500,0.1
"Model 2-qubit bit-flip channel at 0.0 for 15 time",5,15,100,100,0.08
"Compute 5 qubit NN proxy with 500 epochs",6,10,100,1000,0.08
"Generate data for 4 qubits from t=0 to 15",3,12,100,1000,0.08
"Simulate 4-qubit Ising model with rate 0.05",2,5,100,500,0.08
"Predict correlation for 5 qubits over 5 time",5,12,100,1500,0.02
"Run 6 qubits with magnetic field over 10 units",4,15,100,500,0.05
"Simulate 4 qubit entanglement",4,10,100,1500,0.02
"Simulate linear 4-qubit Hamiltonian for 15 time",4,15,100,2000,0.0
"Predict 4-qubit observables for 12 time range",4,8,100,1500,0.0
"Predict correlation for 3 qubits over 15 time",4,12,100,500,0.02
"Predict 4-qubit observables for 15 time range",2,5,100,1000,0.08
"Explore 5 qubit dynamics with 0.08 decoherence for 5 units",6,12,100,500,0.02
"Generate 6 qubit expectation values from 0 to 5",4,15,100,1000,0.02
"Compute 3 qubit NN proxy with 1000 epochs",3,12,100,2000,0.08query,num_qubits,max_time,num_points,epochs,decoherence_rate
"Predict correlation for 2 qubits over 10 time",3,8,100,2000,0.05
"Explore 2 qubit dynamics with 0.0 decoherence for 15 units",3,5,100,100,0.02
"Analyze entanglement in 2 qubits with 0.0 noise",2,10,100,500,0.1
"Test 6 qubits superposition for 15 time steps",4,5,100,500,0.05
"Generate 6 qubit expectation values from 0 to 12",2,8,100,1500,0.1
"Test 4-qubit quantum dynamics with 0.02 rate",2,5,100,1500,0.08
"Compute 4 qubit NN proxy with 1000 epochs",4,15,100,2000,0.0
"Predict correlation for 2 qubits over 12 time",5,15,100,500,0.1
"Simulate linear 6-qubit Hamiltonian for 10 time",2,15,100,1000,0.08
"Generate data for 2 qubits from t=0 to 12",2,5,100,1500,0.08
"Visualize 6 qubit SHAP analysis over 10 units",5,5,100,1500,0.08
"Run 2-qubit chain for 8 time units",2,5,100,1000,0.1
"Test 2 qubits superposition for 12 time steps",3,5,100,500,0.05
"Simulate linear 3-qubit Hamiltonian for 10 time",6,15,100,2000,0.05
"Model 2-qubit bit-flip channel at 0.02 for 15 time",5,15,100,2000,0.05
"Test 3 qubits superposition for 12 time steps",5,15,100,2000,0.08
"Generate data for 3 qubits from t=0 to 10",2,5,100,2000,0.02
"Analyze 4 qubits with decoherence 0.05",5,12,100,500,0.08
"Generate 6 qubit expectation values from 0 to 10",4,12,100,1500,0.08
"Run 5 qubits with magnetic field over 8 units",2,10,100,1500,0.05
"Analyze entanglement in 6 qubits with 0.05 noise",4,10,100,500,0.08
"Explore 6 qubit dynamics with 0.0 decoherence for 12 units",2,5,100,100,0.0
"Predict correlation for 3 qubits over 8 time",5,5,100,1000,0.02
"Run 5-qubit chain for 12 time units",6,5,100,2000,0.1
"Simulate 4-qubit correlations at 0.0 decoherence",6,10,100,100,0.08
"Generate data for 4 qubits from t=0 to 10",4,12,100,100,0.05
"Analyze entanglement in 3 qubits with 0.0 noise",6,10,100,1000,0.0
"Simulate 3-qubit correlations at 0.0 decoherence",6,15,100,500,0.02
"Simulate 6-qubit correlations at 0.02 decoherence",5,8,100,100,0.05
"Simulate 6-qubit Ising model with rate 0.0",6,10,100,100,0.05
"Compute 5 qubit NN proxy with 1000 epochs",6,8,100,1500,0.1
"Visualize 3 qubit SHAP analysis over 5 units",6,15,100,2000,0.0
"Run 2-qubit chain for 12 time units",6,10,100,100,0.02
"Explore 3 qubit dynamics with 0.1 decoherence for 12 units",4,10,100,1000,0.05
"Model 6-qubit bit-flip channel at 0.08 for 15 time",2,8,100,500,0.1
"Predict 6-qubit observables for 12 time range",5,5,100,500,0.0
"Test 2 qubits superposition for 10 time steps",2,15,100,500,0.08
"Generate data for 3 qubits from t=0 to 15",5,12,100,1000,0.02
"Compute 2 qubit NN proxy with 1000 epochs",4,10,100,1000,0.1
"Explore 3 qubit evolution with 2000 training epochs",6,5,100,100,0.02
"Test 5-qubit quantum dynamics with 0.08 rate",3,15,100,100,0.0
"Generate 2 qubit expectation values from 0 to 5",4,12,100,1500,0.08
"Analyze entanglement in 5 qubits with 0.0 noise",6,12,100,1500,0.05
"Analyze 5 qubits with decoherence 0.0",3,15,100,100,0.05
"Generate 3 qubit expectation values from 0 to 15",5,5,100,1000,0.1
"Analyze entanglement in 3 qubits with 0.08 noise",5,15,100,1000,0.0
"Run 5-qubit chain for 15 time units",3,12,100,2000,0.0
"Generate data for 2 qubits from t=0 to 5",2,8,100,1000,0.02
"Analyze entanglement in 5 qubits with 0.02 noise",3,10,100,1000,0.05
"Analyze 3 qubits with decoherence 0.0",2,5,100,1500,0.08
"Model 5-qubit bit-flip channel at 0.08 for 10 time",3,8,100,1500,0.1
"Explore 3 qubit evolution with 500 training epochs",3,15,100,2000,0.05
"Analyze 6 qubits with decoherence 0.0",2,12,100,100,0.08
"Analyze 2 qubits with decoherence 0.08",2,12,100,100,0.05
"Simulate 3-qubit correlations at 0.1 decoherence",6,12,100,2000,0.08
"Simulate 2-qubit Ising model with rate 0.0",5,10,100,100,0.08
"Run 2 qubits with magnetic field over 15 units",2,10,100,500,0.1
"Model 2 qubit time series for 15 duration",5,10,100,100,0.08
"Test 6-qubit quantum dynamics with 0.05 rate",2,8,100,1500,0.1
"Generate 4 qubit expectation values from 0 to 8",5,15,100,100,0.08
"Explore 4 qubit dynamics with 0.05 decoherence for 12 units",4,10,100,500,0.05
"Simulate 5 qubit entanglement",3,5,100,2000,0.0
"Run 6-qubit chain for 8 time units",6,15,100,500,0.05
"Explore 4 qubit dynamics with 0.02 decoherence for 5 units",4,8,100,500,0.0
"Visualize 3 qubit SHAP analysis over 12 units",3,10,100,500,0.02
"Model 6 qubit time series for 5 duration",6,8,100,100,0.02
"Predict correlation for 3 qubits over 10 time",5,12,100,2000,0.1
"Explore 4 qubit evolution with 1500 training epochs",5,15,100,2000,0.05
"Model 2-qubit bit-flip channel at 0.05 for 5 time",4,8,100,1500,0.0
"Model 3-qubit bit-flip channel at 0.1 for 12 time",5,12,100,1000,0.05
"Generate data for 2 qubits from t=0 to 10",6,5,100,1000,0.1
"Explore 5 qubit dynamics with 0.0 decoherence for 8 units",2,10,100,1500,0.08
"Simulate linear 2-qubit Hamiltonian for 10 time",2,5,100,1000,0.05
"Predict correlation for 4 qubits over 15 time",2,5,100,2000,0.1
"Explore 3 qubit dynamics with 0.02 decoherence for 8 units",6,12,100,1500,0.1
"Simulate 3 qubit entanglement",6,5,100,1500,0.1
"Model 3-qubit bit-flip channel at 0.08 for 5 time",3,10,100,2000,0.08
"Explore 3 qubit evolution with 1000 training epochs",6,8,100,100,0.08
"Visualize 3 qubit SHAP analysis over 8 units",2,10,100,100,0.1
"Run 4 qubits with magnetic field over 10 units",3,5,100,500,0.08
"Simulate linear 6-qubit Hamiltonian for 12 time",5,15,100,2000,0.1
"Simulate 2 qubit entanglement",3,10,100,1000,0.05
"Model 2-qubit bit-flip channel at 0.1 for 5 time",5,12,100,1000,0.1
"Simulate linear 4-qubit Hamiltonian for 12 time",2,10,100,100,0.05
"Predict correlation for 5 qubits over 15 time",2,15,100,1500,0.05
"Analyze 5 qubits with decoherence 0.1",4,15,100,500,0.05
"Generate 4 qubit expectation values from 0 to 12",2,15,100,500,0.05
"Model 4 qubit time series for 5 duration",4,12,100,500,0.1
"Visualize 5 qubit SHAP analysis over 10 units",2,10,100,2000,0.08
"Generate data for 3 qubits from t=0 to 8",4,8,100,2000,0.0
"Simulate 6-qubit Ising model with rate 0.05",5,15,100,1000,0.0
"Predict 5-qubit observables for 8 time range",4,10,100,500,0.02
"Simulate 2-qubit Ising model with rate 0.1",4,12,100,500,0.02
"Compute 2 qubit NN proxy with 500 epochs",3,8,100,100,0.05
"Generate 3 qubit expectation values from 0 to 5",2,15,100,2000,0.1
"Explore 6 qubit evolution with 1500 training epochs",2,10,100,2000,0.02
"Test 3-qubit quantum dynamics with 0.08 rate",6,12,100,500,0.02
"Test 3 qubits superposition for 5 time steps",3,15,100,500,0.08
"Test 3 qubits superposition for 15 time steps",2,12,100,1000,0.02
"Generate data for 3 qubits from t=0 to 5",5,15,100,1000,0.08
"Predict 6-qubit observables for 15 time range",3,15,100,500,0.05
"Predict 3-qubit observables for 12 time range",5,8,100,1000,0.1
"Test 4 qubits superposition for 15 time steps",5,12,100,1000,0.08
"Model 5-qubit bit-flip channel at 0.05 for 5 time",6,15,100,1500,0.02
"Model 4-qubit bit-flip channel at 0.1 for 10 time",3,15,100,500,0.05
"Explore 3 qubit dynamics with 0.08 decoherence for 8 units",2,12,100,1000,0.1
"Generate 2 qubit expectation values from 0 to 12",2,15,100,100,0.05
"Generate data for 5 qubits from t=0 to 12",2,8,100,1000,0.08
"Run 5 qubits with magnetic field over 5 units",6,8,100,1500,0.0
"Run 5 qubits with magnetic field over 15 units",3,12,100,1000,0.0
"Test 5 qubits superposition for 8 time steps",5,5,100,1500,0.1
"Explore 2 qubit evolution with 1500 training epochs",4,8,100,1500,0.0
"Simulate 5-qubit Ising model with rate 0.1",4,8,100,100,0.05
"Run 5-qubit chain for 8 time units",2,10,100,500,0.02
"Predict 4-qubit observables for 10 time range",2,10,100,1500,0.02
"Analyze entanglement in 4 qubits with 0.08 noise",5,12,100,2000,0.0
"Analyze 2 qubits with decoherence 0.02",2,5,100,1000,0.02
"Model 3 qubit time series for 8 duration",3,15,100,2000,0.1
"Predict correlation for 6 qubits over 8 time",5,5,100,1000,0.02
"Simulate linear 3-qubit Hamiltonian for 15 time",4,5,100,100,0.02
"Simulate 4-qubit Ising model with rate 0.1",5,15,100,1500,0.0
"Visualize 6 qubit SHAP analysis over 12 units",2,12,100,2000,0.1
"Generate data for 5 qubits from t=0 to 10",2,15,100,2000,0.02
"Compute 2 qubit NN proxy with 100 epochs",3,10,100,1500,0.0
"Analyze entanglement in 4 qubits with 0.02 noise",6,10,100,500,0.1
"Simulate 6-qubit Ising model with rate 0.1",5,8,100,100,0.1
"Explore 5 qubit evolution with 1000 training epochs",4,5,100,2000,0.1
"Compute 3 qubit NN proxy with 1500 epochs",6,15,100,2000,0.0
"Test 5 qubits superposition for 15 time steps",5,12,100,100,0.08
"Model 6-qubit bit-flip channel at 0.1 for 10 time",4,10,100,100,0.05
"Simulate 3-qubit correlations at 0.02 decoherence",2,10,100,500,0.0
"Predict 2-qubit observables for 5 time range",6,10,100,500,0.0
"Run 3 qubits with magnetic field over 10 units",4,15,100,1000,0.02
"Visualize 4 qubit SHAP analysis over 8 units",5,12,100,500,0.02
"Generate 5 qubit expectation values from 0 to 10",2,12,100,100,0.05
"Test 4 qubits superposition for 8 time steps",3,5,100,500,0.0
"Generate data for 4 qubits from t=0 to 8",4,10,100,2000,0.08
"Simulate 6 qubit entanglement",6,12,100,1000,0.0
"Predict 4-qubit observables for 8 time range",3,10,100,1000,0.0
"Run 6-qubit chain for 5 time units",4,10,100,100,0.05
"Generate data for 5 qubits from t=0 to 15",5,12,100,1500,0.08
"Test 6 qubits superposition for 12 time steps",4,8,100,1500,0.08
"Generate 4 qubit expectation values from 0 to 5",4,15,100,1000,0.0
"Simulate 6-qubit Ising model with rate 0.02",5,5,100,1500,0.1
"Analyze entanglement in 5 qubits with 0.08 noise",3,15,100,1000,0.05
"Analyze 3 qubits with decoherence 0.05",2,5,100,1000,0.05
"Run 3-qubit chain for 10 time units",4,12,100,2000,0.08
"Analyze entanglement in 2 qubits with 0.02 noise",3,12,100,1000,0.08
"Model 3-qubit bit-flip channel at 0.0 for 5 time",2,10,100,2000,0.08
"Visualize 6 qubit SHAP analysis over 15 units",4,5,100,100,0.08
"Predict correlation for 5 qubits over 10 time",4,15,100,500,0.0
"Simulate 6-qubit correlations at 0.08 decoherence",3,15,100,1500,0.0
"Model 2 qubit time series for 12 duration",3,5,100,500,0.05
"Model 2-qubit bit-flip channel at 0.02 for 5 time",4,12,100,2000,0.0
"Test 2-qubit quantum dynamics with 0.1 rate",6,8,100,1500,0.05
"Simulate 5-qubit Ising model with rate 0.08",4,12,100,100,0.1
"Simulate 6-qubit Ising model with rate 0.08",3,15,100,1000,0.08
"Explore 4 qubit evolution with 1000 training epochs",4,10,100,500,0.0
"Visualize 5 qubit SHAP analysis over 15 units",2,8,100,1500,0.1
"Run 4-qubit chain for 10 time units",5,15,100,100,0.05
"Run 6 qubits with magnetic field over 5 units",4,12,100,500,0.1
"Analyze entanglement in 2 qubits with 0.1 noise",4,12,100,500,0.0
"Model 5 qubit time series for 12 duration",3,5,100,1500,0.02
"Model 6-qubit bit-flip channel at 0.05 for 8 time",5,5,100,1000,0.05
"Explore 2 qubit evolution with 500 training epochs",2,15,100,2000,0.05
"Simulate 4-qubit Ising model with rate 0.0",4,8,100,500,0.05
"Predict correlation for 3 qubits over 12 time",6,8,100,100,0.02
"Model 5-qubit bit-flip channel at 0.08 for 12 time",3,8,100,1500,0.0
"Predict 6-qubit observables for 8 time range",4,15,100,2000,0.05
"Model 6 qubit time series for 8 duration",5,15,100,500,0.1
"Analyze entanglement in 4 qubits with 0.05 noise",2,5,100,1000,0.08
"Visualize 4 qubit SHAP analysis over 15 units",5,15,100,1500,0.08
"Explore 5 qubit dynamics with 0.08 decoherence for 15 units",6,5,100,500,0.05
"Compute 6 qubit NN proxy with 1500 epochs",2,12,100,1500,0.1
"Test 5 qubits superposition for 5 time steps",4,8,100,2000,0.1
"Explore 6 qubit dynamics with 0.05 decoherence for 15 units",3,8,100,1500,0.1
"Predict 2-qubit observables for 15 time range",2,5,100,2000,0.02
"Model 4-qubit bit-flip channel at 0.08 for 15 time",4,8,100,500,0.05
"Generate data for 2 qubits from t=0 to 15",3,10,100,2000,0.05
"Predict correlation for 5 qubits over 8 time",2,10,100,500,0.1
"Simulate linear 5-qubit Hamiltonian for 8 time",4,8,100,1000,0.1
"Analyze entanglement in 6 qubits with 0.02 noise",6,5,100,2000,0.02
"Run 6-qubit chain for 12 time units",6,15,100,500,0.02
"Model 5-qubit bit-flip channel at 0.0 for 10 time",6,15,100,1000,0.1
"Visualize 6 qubit SHAP analysis over 8 units",2,5,100,100,0.0
"Test 4-qubit quantum dynamics with 0.0 rate",6,10,100,500,0.1
"Model 2-qubit bit-flip channel at 0.0 for 15 time",5,15,100,100,0.08
"Compute 5 qubit NN proxy with 500 epochs",6,10,100,1000,0.08
"Generate data for 4 qubits from t=0 to 15",3,12,100,1000,0.08
"Simulate 4-qubit Ising model with rate 0.05",2,5,100,500,0.08
"Predict correlation for 5 qubits over 5 time",5,12,100,1500,0.02
"Run 6 qubits with magnetic field over 10 units",4,15,100,500,0.05
"Simulate 4 qubit entanglement",4,10,100,1500,0.02
"Simulate linear 4-qubit Hamiltonian for 15 time",4,15,100,2000,0.0
